"Nome do campo","Nome do campo"
"Status","Status"
"Nome da Editora","Nome da Editora"
"Endereço","Endereço"
"Logo da Editora","Logo da Editora"
"CNPJ","CNPJ"
"Max de 200 caracteres.","Max de 200 caracteres."
"Máximo de 200 caracteres permitidos.","Máximo de 200 caracteres permitidos."
"Selecione a editora","Selecione a editora"
"Ativo","Ativo"
"Inativo","Inativo"
"Adicionar Nova Editora","Adicionar Nova Editora"
"Salvar","Salvar"
"Excluir","Excluir"
"Editar","Editar"
"Voltar","Voltar"
"Você tem certeza que deseja excluir essa editora?","Você tem certeza que deseja excluir essa editora?"
"Editoras","Editoras"
"Editoras - Admin","Editoras - Admin"
"Editora foi excluída com sucesso","Editora foi excluída com sucesso"
"Editoras - Edição","Editoras - Edição"
"Cadastro de Editora","Cadastro de Editora"
"Novo Produto","Novo Produto"
"Logo inválido, por favor, faça o upload de um arquivo válido.","Logo inválido, por favor, faça o upload de um arquivo válido."
"Arquivo excede o limite de tamanho permitido.","Arquivo excede o limite de tamanho permitido."
"Editoras associadas ao produto","Editoras associadas ao produto"
"Erro ao associar editora ao produto","Erro ao associar editora ao produto"
"Editoras importadas com sucesso do arquivo CSV","Editoras importadas com sucesso do arquivo CSV"
"Editoras não encontradas no arquivo CSV","Editoras não encontradas no arquivo CSV"
"Erro ao importar Editoras do CSV","Erro ao importar Editoras do CSV"
"Editoras associadas a produtos com sucesso","Editoras associadas a produtos com sucesso"
"Importação de Editoras via CSV","Importação de Editoras via CSV"
"Excluir Editoras em massa","Excluir Editoras em massa"
"Editoras em massa associadas com sucesso","Editoras em massa associadas com sucesso"
Add New Publisher, Adicionar nova editora
